[2025-03-14 07:21:25] ERROR HomePage -  Broken Link: https://www.saucedemo.com/inventory.html# | Response Code: 404
[2025-03-14 07:21:25] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  IndexTest - products list are displayed
[2025-03-14 07:21:26] INFO  ListenersClass - Test passed: Verifylink
[2025-03-14 07:21:26] INFO  ListenersClass - Test started: verifyProductCount
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  CartTest - Item added to cart
[2025-03-14 07:21:26] INFO  ListenersClass - Test passed: LogUser
[2025-03-14 07:21:26] INFO  ListenersClass - Test started: ViewCart
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  LoginTest - products list are displayed
[2025-03-14 07:21:26] INFO  ListenersClass - Test passed: LogUser
[2025-03-14 07:21:26] INFO  ListenersClass - Test started: accountManagement
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:26] INFO  CartTest - Items are available in cart. 
[2025-03-14 07:21:26] INFO  ListenersClass - Test passed: ViewCart
[2025-03-14 07:21:26] INFO  ListenersClass - Test started: RemoveItem
[2025-03-14 07:21:26] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:27] INFO  CartTest - Item removed from cart
[2025-03-14 07:21:27] INFO  ListenersClass - Test passed: RemoveItem
[2025-03-14 07:21:27] INFO  ListenersClass - Test started: Checkout
[2025-03-14 07:21:27] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:27] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:27] INFO  IndexTest - Number of products displayed: 6
[2025-03-14 07:21:27] INFO  ListenersClass - Test passed: verifyProductCount
[2025-03-14 07:21:27] INFO  ListenersClass - Test started: verifyLowToHighSorting
[2025-03-14 07:21:27] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:27] INFO  IndexTest - Items sorted by price: 
[2025-03-14 07:21:27] INFO  ListenersClass - Test passed: verifyLowToHighSorting
[2025-03-14 07:21:27] INFO  ListenersClass - Test started: verifyProductDetails
